date,team_1,team_1_goals,team_2_goals,team_2,team_1_1h_goals,team_2_1h_goals,team_1_2h_goals,team_2_2h_goals,team_1_yellow,team_2_yellow,team_1_red,team_2_red,team_1_1h_corners,team_2_1h_corners,team_1_2h_corners,team_2_2h_corners,team_1_match_corners,team_2_match_corners,team_1_total_corners,team_1_xg,team_2_xg,team_1_shots,team_2_shots,team_1_shots_on_target,team_2_shots_on_target,team_1_fouls,team_2_fouls
2026-06-18,Switzerland,4.0,1.0,Bosnia & Herzegovina,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,4.0,2.0,3.0,1.0,7.0,3.0,10.0,2.06,0.23,13.0,5.0,7.0,3.0,7.0,18.0
2026-06-18,Canada,6.0,0.0,Qatar,3.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0,14.0,0.0,19.0,1.0,20.0,4.6,0.22,32.0,2.0,10.0,0.0,9.0,10.0
2026-06-19,Mexico,1.0,0.0,South Korea,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.53,0.91,8.0,9.0,4.0,2.0,9.0,7.0
2026-06-19,USA,2.0,0.0,Australia,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,2.0,4.0,2.0,7.0,4.0,11.0,1.08,0.35,10.0,5.0,2.0,2.0,12.0,16.0
2026-06-19,Scotland,0.0,1.0,Morocco,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,5.0,7.0,0.51,0.99,6.0,12.0,0.0,2.0,11.0,8.0
2026-06-20,Brazil,3.0,0.0,Haiti,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,3.0,4.0,4.0,8.0,1.75,0.23,8.0,7.0,5.0,3.0,13.0,14.0
2026-06-20,Turkey,0.0,1.0,Paraguay,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,7.0,0.0,12.0,0.0,12.0,2.17,0.32,32.0,7.0,5.0,2.0,14.0,15.0
2026-06-20,Netherlands,5.0,1.0,Sweden,2.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,5.0,7.0,2.61,1.01,10.0,16.0,7.0,8.0,9.0,12.0
2026-06-20,Germany,2.0,1.0,Ivory Coast,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,8.0,3.0,11.0,1.89,1.22,16.0,9.0,7.0,2.0,5.0,7.0
2026-06-21,Ecuador,0.0,0.0,Curacao,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,8.0,0.0,9.0,0.0,9.0,2.84,0.5,27.0,10.0,15.0,3.0,7.0,10.0
2026-06-21,Tunisia,0.0,4.0,Japan,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,5.0,8.0,0.05,2.13,2.0,11.0,0.0,5.0,8.0,15.0
2026-06-21,Spain,4.0,0.0,Saudi Arabia,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,6.0,1.0,7.0,2.3,0.14,22.0,3.0,8.0,1.0,10.0,2.0
2026-06-21,Belgium,0.0,0.0,Iran,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,6.0,1.79,0.62,23.0,7.0,7.0,3.0,7.0,9.0
2026-06-21,Uruguay,2.0,2.0,Cape Verde,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0,7.0,3.0,11.0,4.0,15.0,2.32,0.88,17.0,12.0,2.0,4.0,11.0,4.0
2026-06-22,New Zealand,1.0,3.0,Egypt,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,3.0,7.0,1.24,1.87,11.0,19.0,5.0,7.0,14.0,8.0
2026-06-22,Argentina,2.0,0.0,Austria,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,4.0,2.36,0.53,12.0,6.0,5.0,1.0,13.0,13.0
2026-06-22,France,3.0,0.0,Iraq,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,2.0,6.0,2.67,0.63,19.0,4.0,5.0,0.0,8.0,4.0
2026-06-23,Norway,3.0,2.0,Senegal,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,5.0,4.0,9.0,2.2,1.72,13.0,16.0,7.0,4.0,13.0,5.0
2026-06-23,Jordan,1.0,2.0,Algeria,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,7.0,1.0,10.0,11.0,0.63,1.89,8.0,17.0,4.0,8.0,11.0,6.0
2026-06-23,Portugal,5.0,0.0,Uzbekistan,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,5.0,2.61,0.24,17.0,7.0,9.0,2.0,14.0,15.0
2026-06-23,England,0.0,0.0,Ghana,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,6.0,1.0,9.0,2.0,11.0,1.36,0.17,19.0,2.0,3.0,1.0,14.0,24.0
2026-06-24,Panama,0.0,1.0,Croatia,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,7.0,2.0,9.0,0.55,1.65,8.0,6.0,1.0,2.0,19.0,12.0
